amount_usd,payout_method,destination_region,is_batch_payout,account_age_days,prior_successful_payouts,historical_failure_rate,days_since_last_payout,top_rated_status,mop_age_days,mop_verified,recent_bank_change_flag,bank_account_valid,bank_detail_age_days,name_match_score,name_has_special_chars,outcome
547.87,payoneer,SSA,0,952,10,0.012,142,0,609,1,1,1,1430,0.803,0,SUCCESS
605.9,payoneer,SEA,1,2080,23,0.024,6,1,103,1,1,1,663,0.917,0,SUCCESS
170.3,ach,SEA,0,1740,21,0.004,303,1,109,1,0,1,19,0.951,0,SUCCESS
226.38,paypal,EU,1,1885,25,0.173,334,1,961,1,0,1,788,0.836,0,SUCCESS
265.57,payoneer,EU,0,2120,18,0.183,322,1,1057,1,0,1,2155,0.901,0,SUCCESS
249.99,wise,SEA,0,2363,34,0.148,240,1,1246,1,0,1,982,0.973,0,SUCCESS
142.06,thunes_wallet,NAM,0,422,5,0.131,230,0,501,1,0,1,1470,0.934,0,SUCCESS
384.36,dlb_bank,SEA,0,2044,23,0.114,287,1,1019,1,0,1,1505,0.864,0,SUCCESS
287.16,wise,SEA,1,1799,14,0.094,317,0,106,1,1,1,295,0.93,0,SUCCESS
765.76,wise,LATAM,1,357,6,0.048,298,0,1216,1,0,1,957,0.975,0,FAIL_AMOUNT_LIMIT
339.44,wise,EU,0,91,0,0.244,88,0,650,1,0,1,184,0.528,1,FAIL_NAME_MISMATCH
225.0,dlb_bank,EU,0,1944,29,0.137,340,1,140,1,0,1,1331,0.943,0,SUCCESS
117.76,wise,EU,0,489,6,0.106,145,0,4,1,1,1,311,0.965,0,FAIL_MOP
57.04,wise,LATAM,1,880,9,0.042,28,0,992,1,0,0,862,0.832,0,FAIL_BANK_VALIDATION
196.72,dlb_bank,LATAM,1,1315,21,0.264,122,1,808,1,0,1,1320,0.931,0,SUCCESS
201.5,thunes_wallet,LATAM,1,2294,29,0.228,367,1,321,1,0,1,411,0.922,0,SUCCESS
129.08,dlb_bank,SA,0,2021,31,0.077,216,1,425,1,0,1,1068,0.819,0,SUCCESS
195.32,dlb_bank,SEA,1,788,8,0.096,192,0,177,1,0,1,2115,0.581,0,FAIL_NAME_MISMATCH
384.91,dlb_bank,SSA,1,624,9,0.309,367,0,1288,0,0,0,733,0.524,1,FAIL_NAME_MISMATCH
181.95,payoneer,SA,1,413,5,0.05,162,0,1274,1,0,1,1273,0.956,0,SUCCESS
226.47,dlb_bank,NAM,1,1546,14,0.11,138,0,652,1,1,1,1477,0.975,0,FAIL_MOP
95.91,dlb_bank,NAM,1,2307,22,0.052,207,1,1004,1,0,1,795,0.75,0,SUCCESS
849.65,paypal,SSA,1,2361,26,0.089,89,1,1369,1,0,1,1802,0.737,0,FAIL_AMOUNT_LIMIT
326.16,wise,NAM,1,1184,7,0.099,328,0,1212,1,0,1,714,0.896,0,SUCCESS
157.37,paypal,NAM,0,1060,18,0.236,215,1,957,1,1,1,1164,0.918,0,SUCCESS
454.92,wise,LATAM,1,1600,16,0.113,305,1,90,1,0,1,833,0.982,0,SUCCESS
315.86,wise,LATAM,1,279,7,0.427,248,0,1367,0,0,1,1095,0.912,0,FAIL_MOP
225.86,thunes_wallet,SA,1,2018,24,0.034,118,1,1484,0,0,1,2069,0.585,1,FAIL_NAME_MISMATCH
377.09,dlb_bank,SSA,1,1249,19,0.008,353,1,1291,1,0,1,279,0.931,0,SUCCESS
552.02,wire,LATAM,0,1756,17,0.021,132,1,257,1,0,1,1619,0.908,0,SUCCESS
348.89,dlb_bank,LATAM,1,62,1,0.188,281,0,1222,0,0,0,798,0.782,0,FAIL_BANK_VALIDATION
634.13,ach,EU,1,431,4,0.106,233,0,796,0,0,1,1376,0.973,0,FAIL_MOP
280.33,payoneer,NAM,1,2095,16,0.062,332,1,1231,1,1,0,636,0.997,0,SUCCESS
226.77,paypal,NAM,1,2284,34,0.047,59,1,444,1,0,1,1582,0.941,0,SUCCESS
784.93,dlb_bank,MENA,1,197,3,0.113,325,0,335,1,1,1,1962,0.833,0,FAIL_AMOUNT_LIMIT
256.54,ach,NAM,0,362,6,0.186,300,0,1089,1,0,1,1405,0.95,0,SUCCESS
473.25,thunes_wallet,EU,0,1165,11,0.11,269,0,456,1,0,0,901,0.831,0,FAIL_BANK_VALIDATION
264.09,wise,NAM,0,813,8,0.008,218,0,1149,1,0,1,561,0.928,0,SUCCESS
141.4,dlb_bank,SEA,0,629,4,0.159,340,0,767,1,0,1,2169,0.804,0,SUCCESS
178.9,dlb_bank,NAM,1,434,4,0.199,265,0,38,1,0,1,930,0.865,0,FAIL_BANK_VALIDATION
172.31,ach,EU,1,1733,25,0.043,110,1,190,1,0,1,223,0.737,0,SUCCESS
727.53,wire,SEA,1,2092,19,0.117,372,1,1455,1,0,1,16,0.692,1,FAIL_AMOUNT_LIMIT
110.9,wise,LATAM,1,2135,20,0.36,175,1,820,1,0,1,69,0.91,0,SUCCESS
236.36,payoneer,SEA,0,1673,19,0.092,44,1,528,1,0,1,813,0.962,0,SUCCESS
259.86,payoneer,SSA,1,1788,21,0.281,114,1,285,1,0,1,1208,0.884,0,SUCCESS
125.56,thunes_wallet,MENA,1,1522,10,0.036,49,0,253,0,0,1,747,0.442,1,FAIL_NAME_MISMATCH
324.2,thunes_wallet,NAM,1,2307,20,0.091,88,1,1052,0,0,1,112,0.849,0,FAIL_MOP
280.86,thunes_wallet,LATAM,1,898,9,0.168,293,0,793,1,0,1,48,0.763,0,SUCCESS
140.02,wise,LATAM,1,647,5,0.07,67,0,1296,1,0,1,521,0.943,0,SUCCESS
113.84,payoneer,SEA,0,1260,20,0.052,225,1,110,1,0,1,399,0.937,0,SUCCESS
363.82,wise,EU,0,2117,19,0.101,393,1,1133,1,0,1,1054,0.829,0,SUCCESS
64.13,thunes_wallet,SSA,0,1210,12,0.037,306,0,475,1,0,1,822,0.931,0,SUCCESS
1224.49,dlb_bank,NAM,0,1939,25,0.087,57,1,435,1,0,1,477,0.539,1,FAIL_AMOUNT_LIMIT
582.87,wire,EU,0,468,6,0.063,242,0,1131,1,1,1,654,1.0,0,SUCCESS
87.19,dlb_bank,EU,0,1224,14,0.197,17,0,558,1,0,1,1610,0.849,0,SUCCESS
142.19,payoneer,NAM,1,1317,20,0.068,35,1,550,0,0,1,123,0.77,0,FAIL_MOP
81.54,payoneer,SEA,1,805,7,0.126,222,0,1293,1,0,1,2104,0.976,0,SUCCESS
34.29,wise,EU,1,815,12,0.144,225,0,1332,1,0,1,1788,0.537,1,FAIL_NAME_MISMATCH
652.31,wire,SA,1,2205,19,0.06,4,1,31,0,0,1,1921,0.897,0,SUCCESS
221.3,dlb_bank,SSA,1,1217,8,0.013,9,0,338,1,1,1,606,0.864,0,SUCCESS
208.38,dlb_bank,SSA,0,2199,24,0.04,377,1,88,1,0,1,468,0.947,0,SUCCESS
276.34,wise,SSA,0,798,7,0.052,182,0,56,1,0,1,890,0.974,0,SUCCESS
162.08,payoneer,SSA,1,1618,18,0.231,201,1,100,1,0,1,1,0.753,0,SUCCESS
434.03,thunes_wallet,NAM,0,1528,17,0.122,6,1,654,1,0,1,407,0.884,0,SUCCESS
152.55,payoneer,LATAM,1,1259,11,0.08,220,0,875,1,1,1,298,0.993,0,FAIL_MOP
220.38,ach,EU,1,2306,27,0.069,246,1,69,1,0,1,1018,0.91,0,SUCCESS
198.58,dlb_bank,EU,0,24,1,0.193,97,0,936,1,0,1,56,0.678,0,SUCCESS
159.87,thunes_wallet,NAM,0,909,9,0.189,370,0,1235,0,0,1,1281,0.969,0,SUCCESS
305.93,wise,SA,1,1551,22,0.442,211,1,207,1,0,1,931,0.909,0,SUCCESS
351.43,payoneer,NAM,1,1607,16,0.264,346,1,919,1,0,1,529,0.686,0,SUCCESS
76.29,thunes_wallet,SSA,1,2049,19,0.125,289,1,1357,1,0,1,2134,0.301,1,FAIL_NAME_MISMATCH
794.28,wise,EU,1,2114,21,0.153,197,1,134,1,0,1,74,0.921,0,FAIL_AMOUNT_LIMIT
611.35,dlb_bank,SEA,0,2084,24,0.281,238,1,312,1,1,1,1212,0.812,0,SUCCESS
82.41,wise,SSA,0,2125,22,0.096,48,1,329,1,0,1,345,0.977,0,SUCCESS
674.64,wise,NAM,0,1993,22,0.135,74,1,1093,1,0,1,904,0.911,0,SUCCESS
153.99,wise,SEA,1,917,11,0.104,121,0,739,1,0,1,1723,0.871,0,SUCCESS
238.21,wise,SA,0,1278,14,0.025,113,0,1416,1,1,1,1630,0.88,0,SUCCESS
373.3,payoneer,SA,1,297,3,0.079,340,0,1418,0,0,1,695,0.89,0,FAIL_MOP
228.81,wise,LATAM,0,1729,12,0.057,318,0,453,1,0,1,2194,0.969,0,SUCCESS
491.51,paypal,NAM,1,20,1,0.202,317,0,1288,1,0,1,19,0.99,0,FAIL_AMOUNT_LIMIT
277.94,wise,NAM,1,1623,15,0.037,339,0,1077,1,0,1,1310,0.902,0,SUCCESS
122.08,wise,SA,1,1298,8,0.198,366,0,491,1,0,1,137,0.909,0,SUCCESS
80.04,wise,LATAM,0,487,5,0.159,299,0,700,1,0,1,1334,0.907,0,SUCCESS
113.33,ach,NAM,1,1973,17,0.072,161,1,1174,1,1,1,81,0.972,0,SUCCESS
434.99,payoneer,SEA,0,543,10,0.305,51,0,513,1,0,1,1160,0.615,1,FAIL_NAME_MISMATCH
561.83,wire,SSA,1,1188,14,0.038,90,0,381,1,0,1,1160,0.716,0,SUCCESS
463.9,dlb_bank,LATAM,0,861,10,0.028,157,0,751,0,0,1,914,0.851,0,FAIL_MOP
530.33,wire,EU,0,1177,15,0.148,345,0,1371,1,0,1,1113,0.937,0,SUCCESS
1116.82,dlb_bank,EU,1,732,9,0.063,393,0,468,0,0,1,341,0.918,0,FAIL_AMOUNT_LIMIT
428.91,ach,EU,0,1798,12,0.029,176,0,1166,1,0,1,507,0.854,0,SUCCESS
575.12,dlb_bank,NAM,1,1998,26,0.047,268,1,812,1,0,1,1222,0.391,1,FAIL_NAME_MISMATCH
76.08,paypal,SEA,1,2051,22,0.249,28,1,981,1,0,1,927,0.758,0,SUCCESS
201.05,payoneer,LATAM,1,508,6,0.031,336,0,166,1,0,1,436,0.859,0,SUCCESS
686.05,payoneer,LATAM,1,372,2,0.044,251,0,627,1,0,1,1480,0.949,0,FAIL_AMOUNT_LIMIT
121.52,wise,EU,1,831,12,0.164,295,0,787,1,0,1,636,0.83,0,FAIL_MOP
235.97,wise,MENA,1,891,9,0.153,361,0,1152,1,0,1,948,0.904,0,FAIL_BANK_VALIDATION
33.22,dlb_bank,NAM,0,40,0,0.184,150,0,774,1,0,1,475,0.861,0,SUCCESS
624.86,dlb_bank,EU,1,1234,16,0.076,178,1,793,1,0,1,1820,0.846,0,FAIL_BANK_VALIDATION
615.6,payoneer,NAM,1,862,7,0.274,58,0,399,1,0,1,515,0.915,0,FAIL_AMOUNT_LIMIT
597.38,wise,NAM,1,579,4,0.115,188,0,177,0,0,1,904,0.741,0,FAIL_MOP
208.63,dlb_bank,SA,1,215,1,0.259,123,0,849,1,0,1,641,0.762,0,FAIL_MOP
252.81,dlb_bank,SSA,1,524,7,0.111,241,0,405,1,0,1,1945,0.995,0,FAIL_MOP
284.76,dlb_bank,LATAM,0,1177,18,0.057,115,1,1263,1,0,1,2092,0.881,0,SUCCESS
241.98,dlb_bank,LATAM,1,49,2,0.254,391,0,19,1,0,1,1677,0.673,0,FAIL_MOP
123.39,wise,SEA,1,324,4,0.064,220,0,609,1,1,1,1934,0.962,0,FAIL_MOP
208.23,ach,EU,1,1745,29,0.026,34,1,1072,1,0,1,1957,0.952,0,SUCCESS
391.44,thunes_wallet,SSA,1,279,5,0.191,258,0,54,1,0,1,1675,0.982,0,SUCCESS
1028.38,payoneer,MENA,0,563,4,0.11,394,0,250,1,0,1,1740,0.943,0,FAIL_AMOUNT_LIMIT
158.78,dlb_bank,EU,0,495,7,0.085,171,0,1216,1,0,1,655,0.953,0,SUCCESS
115.39,payoneer,LATAM,1,1583,13,0.026,368,0,748,1,0,1,2124,0.945,0,SUCCESS
612.1,ach,SEA,0,512,5,0.192,180,0,334,1,0,1,353,0.981,0,FAIL_AMOUNT_LIMIT
394.7,wire,SA,1,527,10,0.336,37,0,279,1,0,0,1463,0.862,0,FAIL_BANK_VALIDATION
88.66,payoneer,NAM,0,777,6,0.102,198,0,752,1,0,1,582,0.91,0,SUCCESS
388.16,payoneer,SA,1,263,3,0.056,6,0,634,0,1,0,2028,0.986,0,FAIL_MOP
129.59,wire,NAM,1,2110,20,0.069,302,1,128,1,0,1,657,0.941,0,SUCCESS
121.87,dlb_bank,MENA,1,157,0,0.008,368,0,1249,1,0,1,108,0.774,0,FAIL_BANK_VALIDATION
197.81,paypal,SEA,1,2366,26,0.091,217,1,543,0,0,1,2170,0.901,0,SUCCESS
775.46,payoneer,NAM,1,243,0,0.149,396,0,1240,1,0,1,567,0.973,0,FAIL_AMOUNT_LIMIT
412.73,payoneer,EU,1,484,4,0.167,36,0,1040,1,0,1,1089,0.955,0,FAIL_BANK_VALIDATION
258.92,wise,SEA,0,1633,21,0.207,371,1,440,1,0,1,1096,0.745,1,FAIL_NAME_MISMATCH
158.52,dlb_bank,NAM,1,2290,23,0.159,377,1,730,1,1,1,669,0.904,0,SUCCESS
48.38,dlb_bank,SSA,0,1273,15,0.131,300,0,27,0,0,1,1131,0.941,0,FAIL_MOP
54.75,payoneer,SEA,0,1361,24,0.31,242,1,990,1,0,1,447,0.858,0,SUCCESS
97.94,wise,LATAM,1,1007,14,0.089,117,0,398,1,0,1,1698,0.806,0,SUCCESS
161.36,wire,MENA,0,388,6,0.065,243,0,1218,1,0,1,1776,0.979,0,SUCCESS
559.0,dlb_bank,EU,1,1479,22,0.008,47,1,1143,1,0,0,1433,0.443,1,FAIL_NAME_MISMATCH
136.33,paypal,NAM,0,2337,22,0.095,105,1,757,1,0,0,1987,0.931,0,SUCCESS
137.01,wise,EU,1,1415,21,0.451,49,1,874,1,0,1,0,0.811,0,SUCCESS
219.65,dlb_bank,NAM,0,1519,15,0.099,333,0,413,1,0,1,1528,0.964,0,SUCCESS
608.72,dlb_bank,EU,1,1583,16,0.143,33,1,1484,1,0,1,834,0.655,0,SUCCESS
261.79,wise,SA,1,636,13,0.078,366,0,1476,1,0,1,2131,0.862,0,SUCCESS
160.54,wise,LATAM,0,894,8,0.089,255,0,1041,1,0,1,817,0.932,0,SUCCESS
88.19,dlb_bank,EU,0,1193,17,0.313,143,1,1074,1,0,1,2058,0.831,0,SUCCESS
64.8,dlb_bank,EU,1,1942,20,0.087,336,1,246,1,0,0,43,0.901,0,SUCCESS
70.44,wire,SA,0,1546,24,0.054,120,1,1359,1,0,1,554,0.955,0,SUCCESS
530.68,wise,LATAM,0,1928,27,0.09,281,1,231,0,0,1,0,0.945,0,SUCCESS
429.34,payoneer,SA,0,1778,20,0.19,290,1,241,1,1,1,797,0.766,0,SUCCESS
577.42,payoneer,LATAM,0,1981,27,0.078,249,1,1336,1,0,1,1078,0.654,0,SUCCESS
